sector,south_lat,north_lat,west_lon,east_lon,geojson
"sector 10a, Gurugram, Haryana, India",28.4358808,28.4509323,76.9972285,77.0175083,"{'type': 'Polygon', 'coordinates': [[[76.9972285, 28.4483074], [76.9982421, 28.4464881], [76.9995911, 28.4440701], [77.0001506, 28.4434109], [77.0009331, 28.4425741], [77.0022039, 28.4411764], [77.0060488, 28.4383915], [77.0074539, 28.4375406], [77.009322, 28.436365], [77.0101187, 28.4358808], [77.0144701, 28.4410997], [77.0175083, 28.4439405], [77.0140637, 28.4451108], [77.0129637, 28.4456778], [77.0084704, 28.4478754], [77.0077643, 28.4482209], [77.007101, 28.4485452], [77.0051289, 28.4496326], [77.0047874, 28.4498314], [77.0028088, 28.4509119], [77.0027691, 28.4509323], [76.9991994, 28.4491782], [76.9972285, 28.4483074]]]}"
"sector 11, Gurugram, Haryana, India",28.3590267,28.3957333,76.8696144,76.8796311,"{'type': 'Polygon', 'coordinates': [[[76.8696144, 28.3854157], [76.8698757, 28.3834975], [76.8727612, 28.3761601], [76.8740926, 28.3701919], [76.8760385, 28.3636109], [76.8771301, 28.3611083], [76.8779732, 28.3590267], [76.8786654, 28.3693686], [76.8787979, 28.3801257], [76.8788102, 28.3813718], [76.8790219, 28.3871405], [76.8796311, 28.3957333], [76.8696144, 28.3854157]]]}"
"sector 12, Gurugram, Haryana, India",28.3867902,28.4015516,76.8933025,76.9098897,"{'type': 'Polygon', 'coordinates': [[[76.8933025, 28.4015516], [76.8934798, 28.3956132], [76.8934304, 28.3892089], [76.8934127, 28.3868253], [76.9098897, 28.3867902], [76.8933025, 28.4015516]]]}"
"sector 13, Gurugram, Haryana, India",28.4683624,28.4815300,77.0296069,77.0494004,"{'type': 'Polygon', 'coordinates': [[[77.0296069, 28.4743603], [77.0302433, 28.4738979], [77.0378622, 28.4683624], [77.0429769, 28.47403], [77.0463887, 28.4778778], [77.0490452, 28.4809201], [77.0494004, 28.4814748], [77.0473136, 28.48153], [77.0447602, 28.4809547], [77.0425715, 28.4804077], [77.0409922, 28.4797948], [77.0378937, 28.4788611], [77.0358552, 28.4784462], [77.0342244, 28.478333], [77.0329241, 28.4785311], [77.0320237, 28.4787385], [77.0311118, 28.4766142], [77.0297814, 28.4746904], [77.0296069, 28.4743603]]]}"
"sector 14, Gurugram, Haryana, India",28.4537840,28.4937840,77.0271827,77.0671827,"{'type': 'Point', 'coordinates': [77.0471827, 28.473784]}"
"sector 15, Gurugram, Haryana, India",28.3794851,28.3867902,76.9096825,76.9240718,"{'type': 'Polygon', 'coordinates': [[[76.9096825, 28.3797241], [76.9196319, 28.379589], [76.9240718, 28.3794851], [76.9234356, 28.3798095], [76.9212602, 28.3809188], [76.9197016, 28.381696], [76.919406, 28.3818495], [76.9098897, 28.3867902], [76.9096825, 28.3797241]]]}"
"sector 16, Gurugram, Haryana, India",28.4628761,28.4734241,77.0439461,77.0574099,"{'type': 'Polygon', 'coordinates': [[[77.0439461, 28.4684192], [77.0473091, 28.4668077], [77.0504737, 28.4645254], [77.0506253, 28.4644161], [77.0520387, 28.4633968], [77.0528316, 28.4628761], [77.053243, 28.4634025], [77.0574099, 28.4687352], [77.0571194, 28.4692788], [77.0570138, 28.4703021], [77.0567859, 28.4712628], [77.0562147, 28.4724471], [77.0554358, 28.4734241], [77.0535205, 28.4726016], [77.0524742, 28.4722068], [77.0512071, 28.4717616], [77.050005, 28.471356], [77.0492354, 28.4710512], [77.0485843, 28.470762], [77.0485234, 28.4707445], [77.0458308, 28.4697483], [77.0439461, 28.4684192]]]}"
"sector 17, Gurugram, Haryana, India",28.4687352,28.4850655,77.0534223,77.0704200,"{'type': 'Polygon', 'coordinates': [[[77.0534223, 28.4758626], [77.0554358, 28.4734241], [77.0562147, 28.4724471], [77.0567859, 28.4712628], [77.0570138, 28.4703021], [77.0571194, 28.4692788], [77.0574099, 28.4687352], [77.0590178, 28.4700328], [77.0614642, 28.471959], [77.0684495, 28.4774587], [77.07042, 28.47911], [77.0620074, 28.4850655], [77.0609084, 28.483721], [77.0632709, 28.4825281], [77.0655958, 28.4793458], [77.0672907, 28.4791774], [77.068271, 28.477646], [77.0649386, 28.4768981], [77.0638456, 28.4767412], [77.0637596, 28.4772834], [77.0635986, 28.4784523], [77.0642418, 28.4795453], [77.0629007, 28.4803092], [77.0614416, 28.4806769], [77.0597041, 28.481272], [77.0588672, 28.4817907], [77.0547044, 28.4772834], [77.0543391, 28.4765275], [77.0534223, 28.4758626]]]}"
"sector 17a, Gurugram, Haryana, India",28.4008281,28.4240826,77.0000093,77.0196986,"{'type': 'Polygon', 'coordinates': [[[77.0000093, 28.4023072], [77.0092134, 28.4008281], [77.0092837, 28.4009686], [77.0094932, 28.4013872], [77.009756, 28.4019122], [77.0106152, 28.4036287], [77.0111553, 28.4046987], [77.0116085, 28.4046678], [77.0124051, 28.4046717], [77.0123961, 28.405245], [77.0131865, 28.4052449], [77.0131993, 28.4057854], [77.0121029, 28.4058159], [77.0116947, 28.4059308], [77.0162375, 28.414912], [77.0196986, 28.4220077], [77.0159279, 28.4240826], [77.0141684, 28.4220315], [77.0126127, 28.421315], [77.0120198, 28.4211561], [77.0108877, 28.4209609], [77.0087976, 28.4159314], [77.007613, 28.4129635], [77.0062662, 28.409589], [77.005537, 28.4085894], [77.0046285, 28.4079685], [77.0034301, 28.4069305], [77.0029236, 28.4065474], [77.0025086, 28.4061325], [77.0021452, 28.4057082], [77.0015453, 28.4050125], [77.0010017, 28.4042588], [77.0002669, 28.4029935], [77.0000093, 28.4023072]]]}"
"sector 17b, Gurugram, Haryana, India",28.4008281,28.4240826,77.0000093,77.0196986,"{'type': 'Polygon', 'coordinates': [[[77.0000093, 28.4023072], [77.0092134, 28.4008281], [77.0092837, 28.4009686], [77.0094932, 28.4013872], [77.009756, 28.4019122], [77.0106152, 28.4036287], [77.0111553, 28.4046987], [77.0116085, 28.4046678], [77.0124051, 28.4046717], [77.0123961, 28.405245], [77.0131865, 28.4052449], [77.0131993, 28.4057854], [77.0121029, 28.4058159], [77.0116947, 28.4059308], [77.0162375, 28.414912], [77.0196986, 28.4220077], [77.0159279, 28.4240826], [77.0141684, 28.4220315], [77.0126127, 28.421315], [77.0120198, 28.4211561], [77.0108877, 28.4209609], [77.0087976, 28.4159314], [77.007613, 28.4129635], [77.0062662, 28.409589], [77.005537, 28.4085894], [77.0046285, 28.4079685], [77.0034301, 28.4069305], [77.0029236, 28.4065474], [77.0025086, 28.4061325], [77.0021452, 28.4057082], [77.0015453, 28.4050125], [77.0010017, 28.4042588], [77.0002669, 28.4029935], [77.0000093, 28.4023072]]]}"
"sector 18, Gurugram, Haryana, India",28.4791100,28.5036859,77.0561443,77.0862237,"{'type': 'Polygon', 'coordinates': [[[77.0561443, 28.4891479], [77.0587342, 28.4873439], [77.0620074, 28.4850655], [77.07042, 28.47911], [77.0711389, 28.4797906], [77.0862237, 28.4950144], [77.0856701, 28.4958522], [77.079202, 28.5008834], [77.0765737, 28.5005817], [77.0753648, 28.5006701], [77.0730631, 28.5009648], [77.0719207, 28.5014868], [77.0687536, 28.5036859], [77.0680704, 28.5028326], [77.0679263, 28.5026653], [77.0633194, 28.4970534], [77.0604882, 28.4939341], [77.0561443, 28.4891479]]]}"
